OD_id,matching_prob,ride_distance,detour_distance,shared_distance
0,0.9112246693102002,6824.378771785129,835.0921387952714,3439.7769396453423
1,0.7738738337645803,4069.6329555059424,254.2881692984859,1775.6160135363773
2,0.9031717769512219,29821.68215559821,915.6722961352077,12045.326471807759
3,0.8761469150613407,23003.264724418863,523.0981483298422,12606.01918656889
4,0.5959313993168759,30810.043061649318,873.0895420325845,6707.0124844654965
5,0.9897201781610288,18882.830119269434,828.3010821191019,9015.150310512785
6,0.6473004522899659,2584.64065637587,410.7465163680051,1285.9088889132663
7,0.31788084138475503,41469.25745696364,204.0273572706769,10600.83185813329
8,0.9991459143637481,23800.26332934757,594.6217639981314,16128.351930575396
9,0.8210991224853498,25602.745441499173,720.2812525174078,13398.254748717269
10,0.7826256955701767,4089.5203481260364,233.39392306495648,2799.5223843687477
11,0.9415797812355992,25304.546013074378,763.6649681378886,5690.627261862875
12,0.4375666652559813,10642.591797936082,92.60311208033181,4296.029630400845
13,0.9754910990165092,12167.070348330493,723.3298686964077,5262.112598270839
14,0.5516818434877881,17644.444554465354,541.946739291522,2951.8406122874558
15,0.641277576073453,20525.68820179363,455.3138314441285,9903.437995926306
16,0.9899826970323038,19490.442478523197,850.4860573646968,5521.635611207247
17,0.6177027496789134,35025.73991073977,455.4812151351758,10160.083123747248
18,0.870265142426576,4013.537775696829,533.054737994425,2404.6849749519192
19,0.8598517485081489,32323.224335067214,605.060126799417,20098.656873202523
20,0.9718715727336927,40079.77443953655,861.0727651333482,14757.868821149963
21,0.9243623635211908,29635.06621224456,876.6018311399033,9827.108744284347
22,0.8938307756516658,37357.25442333569,933.3583859789109,12714.679278431615
23,0.7862161483879415,24093.503485291338,735.4788680224141,8338.691562671927
24,0.8114385146084325,34857.22709200709,784.2594082089267,12163.835167894844
25,0.7016559691474878,24024.11913355942,681.6334222196323,6660.283022176028
26,0.8910549030781825,48182.2428686395,1232.2740986192102,14760.599663850026
27,0.6792630598248988,38809.80227962215,472.4330138626108,16332.325837652803
28,0.8200534578680904,48973.39719841093,1120.912415958969,18075.180690451984
29,0.48607916850204125,27965.39743591452,390.2273333282581,6821.291295046644
30,0.9440619665770927,13027.957563460632,759.7852272536793,6619.378387883359
31,0.36925830344129595,27862.90771023603,194.9569230812331,9183.889720692829
32,0.8713827047860657,44592.345380792474,1202.0911752093893,22218.899104321797
33,0.7917940584756563,29606.78489163926,522.1393450352505,12341.784750491212
34,0.9864277974905628,24547.169799411495,1423.7334807710888,6955.580925952119
35,0.8749236717338085,23444.98374152902,1128.076219685532,7352.174618850125
36,0.8204435367590912,29753.614791431373,672.8199602907141,9705.386045435083
37,0.7911226100631655,38797.71668213184,525.1084885384394,17431.623673529022
38,0.4410095233169873,11447.175163464828,484.44483085912253,2427.9721609875423
39,0.8174520987007501,11472.62116788044,858.3475260678831,3595.6569411927617
40,0.8978305968727711,6291.051472375837,740.2952466506634,3513.3598067248577
41,0.9553784043114334,7184.413156553612,534.0164222540315,5255.005749041006
42,0.9565389350692595,39983.920175096675,1029.51294294574,15696.14197056534
43,0.5782161575168356,9948.483247094,313.5470370049252,3460.285509860915
44,0.9494086984899334,5159.380396365429,458.4096958576393,3245.7995240428795
45,0.9857070340304861,15966.990320728124,813.3586303711562,7296.3164683303985
46,0.7886369932031599,62101.82324759783,865.9453787659276,14338.7112802594
47,0.9950737200834189,30695.48806133172,1411.3245298478357,8988.456440790178
48,0.6010238082920716,42573.78549570792,714.4127468685898,13356.74046217254
49,0.8580617738683587,31576.340497439305,783.016709156325,13434.7842451615
50,0.9525265985230177,32956.46198546344,893.1722293452302,17233.874310823074
51,0.0982583888283689,7486.69063391639,102.75542143151361,468.28523729809206
52,0.8805730597708615,11832.652257550364,723.2251069452471,6385.410010063832
53,0.8955155735123387,44106.75768995348,790.2365422591946,19907.55906405635
